Repository,number_of_super,number_of_return_statements,number_of_modules,number_of_and_statements,number_of_case_statements,number_of_retry_statements,number_of_raise_statements,number_of_put_statements,number_of_instance_variables,number_of_yield_statements,number_of_alias,number_of_for_loops,number_of_created_constants,number_of_branching_statements,number_of_regular_expressions,number_of_constants,number_of_global_variables,number_of_or_statements,number_of_not_statements,total_number_of_logical_statements,total_number_of_loops,number_of_basic_integers,number_of_arrays,number_of_strings,number_of_reserved_words_meet_in_project,number_of_branch_blocks,number_of_document_sections,number_of_redo_statements,number_of_ternary_operators,number_of_hexadecimal_octal_literals,number_of_print_statements,number_of_until_loops,number_of_next_statements,number_of_while_loops
hitobito_pbs,0,0,0,3,0,0,0,0,0,0,0,0,1,0,6,1,0,2,3,8,0,5,0,4,20,0,0,0,0,0,0,0,0,0
hmis-warehouse,0,0,3,1,0,0,1,2,1,0,0,2,2,6,1,14,0,0,8,9,2,5,1,18,48,4,0,0,0,0,0,0,0,0
homebrew-cask,0,1,3,3,3,0,0,3,4,0,0,1,14,23,30,3,0,4,2,9,1,21,63,77,124,19,0,0,2,0,0,0,0,0
homebrew-core,0,12,0,36,2,0,0,0,0,0,0,43,178,42,423,17,0,21,27,84,46,469,123,2064,1093,37,0,0,2,77,12,1,4,2
hydra-head,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,7,13,1,0,0,0,0,0,0,0,0
hyrax,0,0,0,2,0,0,0,1,0,0,0,0,2,3,5,7,1,0,0,2,0,2,5,25,44,3,0,0,0,0,1,0,0,0
idomaar,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,0,0,0
impactdialing,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0,30,42,0,0,0,0,0,0,0,0,0
jruby,2,0,1,0,0,0,0,1,2,0,0,0,0,5,0,0,0,1,0,1,0,2,1,8,47,3,0,0,0,0,0,0,0,0
kali,0,63,6,15,0,0,0,43,27,0,0,9,121,29,90,4,0,5,15,35,10,163,195,256,420,27,0,0,2,1,0,0,4,1
lairdubois-opencutlist-sketchup-extension,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,20,0,0,0,0,0,209,15,84,17,0,0,0,0,10,0,0,0,0
loomio,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,11,6,0,0,0,0,0,0,0,0,0
lwfs,17,59,34,106,13,3,61,10,189,21,28,39,135,237,13,66,1,64,60,230,56,308,74,244,1804,176,0,0,26,30,5,6,3,11
mad-metasploit,0,21,0,14,3,0,22,15,21,0,0,7,40,60,19,22,0,8,22,44,14,229,143,274,386,41,2,0,0,4,2,0,1,7
madek-webapp,0,0,2,1,0,0,1,1,0,0,0,1,5,1,1,15,0,0,8,9,1,6,7,20,40,1,0,0,0,0,0,0,0,0
MakeYourLaws,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0
manageiq,0,11,9,10,1,0,1,10,0,0,0,3,66,49,20,10,1,2,3,15,3,15,155,211,350,35,0,0,3,0,0,0,1,0
manageiq-ui-classic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12,11,14,35,0,0,0,0,1,0,0,0,0
mapknitter,0,2,0,2,0,0,0,0,8,0,0,2,2,2,4,33,0,0,2,4,2,9,1,43,46,2,0,0,0,0,0,0,0,0
